Name: Sandy Loam/alluvium
Type:  Soils
Class: Entisol
Subclass: 
Particle Size:  see additional information
Sample No.: fgg008
Owner:  University of NSW
Wavelength range:  All
Origin: Fowlers Gap, western New South Wales, Australia
Hewson(1998) PhD thesis 
Description: Parent material consists of aeolian silts/clays and sandstone debris. Red-orange loam.

Physiography: Depositional erosional scald along footslopes of sandstone hillslopes (Nundooka Sandstone).



Measurement: Directional hemispherical reflectance 
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0131
Last X Value:  2.00032
Number of X Values:  2223
Additional information:  fgg008a.txt
14.013    1.4627
13.975    1.3901
13.938    1.3273
13.900    1.2569
13.863    1.0828
13.826    1.1651
13.790    1.3359
13.753    1.3884
13.717    1.3755
13.680    1.3687
13.644    1.3687
13.608    1.5024
13.573    1.6173
13.537    1.5592
13.502    1.4993
13.467    1.5083
13.432    1.5423
13.398    1.4792
13.363    1.5503
13.329    1.6123
13.294    1.5088
13.260    1.5012
13.227    1.5829
13.193    1.6083
13.160    1.6546
13.126    1.6272
13.093    1.8168
13.060    1.9084
13.027    1.7390
12.995    1.7268
12.962    1.8137
12.930    1.9547
12.898    2.1247
12.866    2.3295
12.834    2.2387
12.802    2.1199
12.771    2.0473
12.739    1.9305
12.708    1.7999
12.677    1.7573
12.646    1.8352
12.615    1.7710
12.585    1.7508
12.554    1.8177
12.524    1.7596
12.494    1.7980
12.464    1.7905
12.434    1.7075
12.404    1.5924
12.374    1.4768
12.345    1.4584
12.316    1.4191
12.286    1.2653
12.257    1.3022
12.228    1.3516
12.200    1.3927
12.171    1.4934
12.143    1.5933
12.114    1.5942
12.086    1.6692
12.058    1.6285
12.030    1.6281
12.002    1.8126
11.974    1.9541
11.947    1.9213
11.919    1.9528
11.892    1.9887
11.865    1.9122
11.838    1.9627
11.811    2.0218
11.784    2.0886
11.757    2.1394
11.730    2.1005
11.704    2.0900
11.678    2.2106
11.651    2.2109
11.625    2.1900
11.599    2.3222
11.573    2.2758
11.547    2.1208
11.522    2.2536
11.496    2.3949
11.471    2.3224
11.445    2.3091
11.420    2.3222
11.395    2.4080
11.370    2.4990
11.345    2.3671
11.321    2.3393
11.296    2.4482
11.271    2.4455
11.247    2.5415
11.223    2.6181
11.198    2.5431
11.174    2.5599
11.150    2.7237
11.126    2.7606
11.102    2.8069
11.079    2.9448
11.055    2.9862
11.032    2.8959
11.008    2.9056
10.985    2.9017
10.962    2.9218
10.938    2.8849
10.915    2.7454
10.893    2.6632
10.870    2.7171
10.847    2.7497
10.824    2.5945
10.802    2.4087
10.779    2.3880
10.757    2.5159
10.735    2.6074
10.713    2.6118
10.690    2.5733
10.668    2.5417
10.647    2.5519
10.625    2.5937
10.603    2.5908
10.581    2.4534
10.560    2.4500
10.538    2.5582
10.517    2.7035
10.496    2.8333
10.474    2.8522
10.453    2.8872
10.432    3.0223
10.411    3.1712
10.390    3.2826
10.370    3.3566
10.349    3.4485
10.328    3.6623
10.308    3.7640
10.287    3.6947
10.267    3.7739
10.247    3.9365
10.227    4.0242
10.206    4.0966
10.186    4.1680
10.166    4.3106
10.146    4.5438
10.127    4.7834
10.107    4.9447
10.087    4.9725
10.068    4.9522
10.048    5.1895
10.029    5.5625
10.009    5.9176
 9.990    6.0940
 9.971    6.2360
 9.952    6.3516
 9.933    6.4708
 9.914    6.6025
 9.895    6.5592
 9.876    6.5892
 9.857    6.5735
 9.838    6.6077
 9.820    6.7660
 9.801    6.9584
 9.783    7.2199
 9.764    7.4174
 9.746    7.6752
 9.728    8.0018
 9.709    8.2519
 9.691    8.5092
 9.673    8.7123
 9.655    8.8823
 9.637    9.2042
 9.619    9.4588
 9.602    9.5132
 9.584    9.5062
 9.566    9.6568
 9.549    9.7776
 9.531    9.8832
 9.514   10.0662
 9.496   10.1784
 9.479   10.2247
 9.461   10.3180
 9.444   10.4401
 9.427   10.5416
