Name: Red-orange sandy loam
Type:  Soils
Class: Entisol
Subclass: 
Particle Size:  see additional information
Sample No.: fgg033
Owner:  University of NSW
Wavelength range:  All
Origin: Fowlers Gap, western New South Wales, Australia
Hewson(1998) PhD thesis 
Description: Parent material consists of aeolian silts/clays and sandstone debris.

Physiography: Floodplain outwash from sandstone hillslopes.



Measurement: Directional hemispherical reflectance 
First Column:  X
Second Column:  Y
X Units:  Wavelength (micrometers)
Y Units:  Reflectance (percent)
First X Value:  14.0131
Last X Value:  2.00032
Number of X Values:  2223
Additional information:  fgg033a.txt
14.013    1.1895
13.975    1.3525
13.938    1.3445
13.900    1.3471
13.863    1.3699
13.826    1.5502
13.790    1.5757
13.753    1.5962
13.717    1.5471
13.680    1.6305
13.644    1.6775
13.608    1.6487
13.573    1.6653
13.537    1.6077
13.502    1.5433
13.467    1.5942
13.432    1.7012
13.398    1.6458
13.363    1.5360
13.329    1.4980
13.294    1.5113
13.260    1.4951
13.227    1.5962
13.193    1.6854
13.160    1.8007
13.126    1.8393
13.093    1.8938
13.060    1.8763
13.027    1.8507
12.995    1.8353
12.962    1.7944
12.930    1.8002
12.898    1.8640
12.866    1.8483
12.834    1.9508
12.802    2.0777
12.771    1.9493
12.739    1.8896
12.708    1.7278
12.677    1.6391
12.646    1.7492
12.615    1.6727
12.585    1.6053
12.554    1.5525
12.524    1.6375
12.494    1.7239
12.464    1.6206
12.434    1.5863
12.404    1.3951
12.374    1.2653
12.345    1.3227
12.316    1.3532
12.286    1.5659
12.257    1.6500
12.228    1.5522
12.200    1.6173
12.171    1.6489
12.143    1.6822
12.114    1.7979
12.086    1.8745
12.058    1.9600
12.030    1.9100
12.002    1.9377
11.974    1.9243
11.947    2.0016
11.919    2.1757
11.892    2.1774
11.865    2.1675
11.838    2.2980
11.811    2.3465
11.784    2.3933
11.757    2.5642
11.730    2.6009
11.704    2.5769
11.678    2.4994
11.651    2.5407
11.625    2.5047
11.599    2.4436
11.573    2.4868
11.547    2.4653
11.522    2.4307
11.496    2.4639
11.471    2.5117
11.445    2.5761
11.420    2.4467
11.395    2.2861
11.370    2.3838
11.345    2.4316
11.321    2.3817
11.296    2.4042
11.271    2.4956
11.247    2.5247
11.223    2.4554
11.198    2.5462
11.174    2.6501
11.150    2.5736
11.126    2.5098
11.102    2.4815
11.079    2.5301
11.055    2.5721
11.032    2.4589
11.008    2.3941
10.985    2.4788
10.962    2.5246
10.938    2.5208
10.915    2.4190
10.893    2.2139
10.870    2.0639
10.847    2.1136
10.824    2.1395
10.802    2.1056
10.779    2.1026
10.757    2.0807
10.735    2.2170
10.713    2.2507
10.690    2.1414
10.668    2.1809
10.647    2.1411
10.625    2.1545
10.603    2.2665
10.581    2.2933
10.560    2.3981
10.538    2.4391
10.517    2.4026
10.496    2.4434
10.474    2.5209
10.453    2.5657
10.432    2.5656
10.411    2.5982
10.390    2.5929
10.370    2.6853
10.349    2.8343
10.328    2.8072
10.308    2.8871
10.287    3.0236
10.267    3.0671
10.247    3.1500
10.227    3.2257
10.206    3.2378
10.186    3.2593
10.166    3.2202
10.146    3.2507
10.127    3.4277
10.107    3.5849
10.087    3.6679
10.068    3.7300
10.048    3.7620
10.029    3.8391
10.009    4.1243
 9.990    4.3071
 9.971    4.4524
 9.952    4.6135
 9.933    4.7565
 9.914    4.8435
 9.895    4.7677
 9.876    4.6640
 9.857    4.5773
 9.838    4.5689
 9.820    4.6058
 9.801    4.6593
 9.783    4.7730
 9.764    4.9881
 9.746    5.2442
 9.728    5.4350
 9.709    5.7086
 9.691    5.9340
 9.673    6.0769
 9.655    6.1286
 9.637    6.1210
 9.619    6.2812
 9.602    6.3256
 9.584    6.3956
 9.566    6.5111
 9.549    6.5589
 9.531    6.6911
 9.514    6.6528
 9.496    6.7153
 9.479    6.7805
 9.461    6.7788
 9.444    7.0086
 9.427    7.1347
 9.410    7.1305
 9.393    7.1791
 9.376    7.1604
