Name: Kernite  Na2B4O6(OH)2 * 3H2O
Type: Mineral
Class: Borate
Subclass: None
Particle Size: Unsieved coarse powder
Sample No.: None
Owner: USGS
Wavelength range: 0.40 - 14.05 um
Origin: Boron, California

Description: Kernite from Boron, California.





Measurement: Directional Hemispherical Reflectance
First Column: X
Second Column: Y
X Units: Wavelength (micrometers)
Y Units: Reflectance (percent)
First X Value: 14.05105
Last X Value: 0.40000
Number of X Values: 2756
Additional Information: None
 0.400   73.3480
 0.402   73.3269
 0.404   73.3053
 0.406   73.2960
 0.408   73.2714
 0.410   73.2467
 0.412   73.1958
 0.414   73.1782
 0.416   73.1612
 0.418   73.1459
 0.420   73.1275
 0.422   73.1133
 0.424   73.1153
 0.426   73.1127
 0.428   73.0972
 0.430   73.0933
 0.432   73.1067
 0.434   73.1023
 0.436   73.1291
 0.438   73.1347
 0.440   73.1211
 0.442   73.1379
 0.444   73.1652
 0.446   73.1764
 0.448   73.1892
 0.450   73.2235
 0.452   73.2240
 0.454   73.2453
 0.456   73.2633
 0.458   73.2866
 0.460   73.2480
 0.462   73.2510
 0.464   73.2402
 0.466   73.2574
 0.468   73.2427
 0.470   73.2592
 0.472   73.2837
 0.474   73.2816
 0.476   73.2902
 0.478   73.2919
 0.480   73.2849
 0.482   73.2954
 0.484   73.3358
 0.486   73.4195
 0.488   73.4585
 0.490   73.4801
 0.492   73.4881
 0.494   73.5156
 0.496   73.5150
 0.498   73.5437
 0.500   73.5445
 0.502   73.5618
 0.504   73.5552
 0.506   73.5754
 0.508   73.5807
 0.510   73.5797
 0.512   73.6120
 0.514   73.6089
 0.516   73.6304
 0.518   73.6594
 0.520   73.6886
 0.522   73.6852
 0.524   73.7135
 0.526   73.7226
 0.528   73.7622
 0.530   73.8010
 0.532   73.8017
 0.534   73.8070
 0.536   73.8446
 0.538   73.8457
 0.540   73.8717
 0.542   73.8788
 0.544   73.8926
 0.546   73.9274
 0.548   73.9260
 0.550   73.9366
 0.552   73.9378
 0.554   73.9926
 0.556   73.9841
 0.558   73.9751
 0.560   73.9871
 0.562   74.0444
 0.564   74.0276
 0.566   74.0232
 0.568   74.0403
 0.570   74.0481
 0.572   74.0875
 0.574   74.0830
 0.576   74.0783
 0.578   74.0774
 0.580   74.1187
 0.582   74.0931
 0.584   74.1218
 0.586   74.1408
 0.588   74.1322
 0.590   74.1321
 0.592   74.1228
 0.594   74.1220
 0.596   74.1174
 0.598   74.1488
 0.600   74.1338
 0.602   74.1419
 0.604   74.1485
 0.606   74.1382
 0.608   74.1132
 0.610   74.1339
 0.612   74.1496
 0.614   74.1006
 0.616   74.1003
 0.618   74.1329
 0.620   74.0890
 0.622   74.0850
 0.624   74.0607
 0.626   74.1030
 0.628   74.0655
 0.630   74.0772
 0.632   74.0708
 0.634   74.0635
 0.636   74.0494
 0.638   74.1032
 0.640   74.0649
 0.642   74.0566
 0.644   74.0687
 0.646   74.0486
 0.648   74.0325
 0.650   74.0224
 0.652   74.0179
 0.654   74.0086
 0.656   73.9848
 0.658   73.9896
 0.660   73.9827
 0.662   74.0228
 0.664   73.9990
 0.666   73.9595
 0.668   73.9405
 0.670   73.9459
 0.672   73.9297
 0.674   73.8894
 0.676   73.8805
 0.678   73.8700
 0.680   73.8670
 0.682   73.8332
 0.684   73.8740
 0.686   73.8232
 0.688   73.7725
 0.690   73.8062
 0.692   73.7903
 0.694   73.7773
 0.696   73.7803
 0.698   73.7829
 0.700   73.7566
 0.702   73.7142
 0.704   73.7075
 0.706   73.7218
 0.708   73.7318
 0.710   73.7124
 0.712   73.6958
 0.714   73.6721
 0.716   73.6371
 0.718   73.6414
 0.720   73.6434
 0.722   73.6688
 0.724   73.6449
 0.726   73.6397
 0.728   73.6023
 0.730   73.6163
 0.732   73.6065
 0.734   73.6198
 0.736   73.6139
 0.738   73.5958
 0.740   73.5696
 0.742   73.5860
 0.744   73.5762
 0.746   73.5329
 0.748   73.5409
 0.750   73.5083
 0.752   73.4577
 0.754   73.4385
 0.756   73.4165
 0.758   73.3499
 0.760   73.3104
 0.762   73.2939
 0.764   73.2897
 0.766   73.3451
 0.768   73.4173
 0.770   73.4555
 0.772   73.4825
 0.774   73.4784
 0.776   73.4818
 0.778   73.5113
 0.780   73.4886
 0.782   73.5430
 0.784   73.5309
 0.786   73.5826
 0.788   73.5676
 0.790   73.5716
 0.792   73.5997
 0.794   73.5965
 0.796   73.5804
 0.798   73.5833
 0.800   73.6065
 0.802   73.6313
 0.804   73.6539
 0.806   73.6479
 0.808   73.6263
 0.810   73.6359
 0.812   73.6592
 0.814   73.6342
 0.816   73.6133
 0.818   73.6487
 0.820   73.6248
 0.822   73.6071
 0.824   73.5849
 0.826   73.6105
 0.828   73.6775
 0.830   73.6405
 0.832   73.5679
 0.834   73.5939
 0.836   73.6143
 0.838   73.5417
 0.840   73.5199
 0.842   73.5972
 0.844   73.6720
 0.846   73.5993
 0.848   73.5079
 0.850   73.5233
 0.852   73.5224
 0.854   73.5237
 0.856   73.4681
 0.858   73.3797
 0.860   73.5821
 0.862   73.5762
 0.864   73.4919
 0.866   73.8289
 0.868   73.5697
 0.870   73.3077
 0.872   73.4734
 0.874   73.6135
 0.876   73.5626
 0.878   73.6125
 0.880   73.7393
 0.882   73.6377
 0.884   73.5494
 0.886   73.0135
 0.888   73.1966
 0.890   73.1844
 0.892   73.3591
 0.894   73.3291
 0.896   73.2876
 0.898   73.3087
