Name: Epsomite MgSO4 * 7H2O
Type: Mineral
Class: Sulfate
Subclass: None
Particle Size: Unsieved coarse powder
Sample No.: None
Owner: USGS
Wavelength range: 0.40 - 14.05 um
Origin: "Epsom Salts"  - commercial product

Description: Epsomite - commercial product





Measurement: Directional Hemispherical Reflectance
First Column: X
Second Column: Y
X Units: Wavelength (micrometers)
Y Units: Reflectance (percent)
First X Value: 14.05105
Last X Value: 0.40000
Number of X Values: 2756
Additional Information: None
 0.400   32.2534
 0.402   32.2514
 0.404   32.2522
 0.406   32.2544
 0.408   32.2448
 0.410   32.2476
 0.412   32.2540
 0.414   32.2556
 0.416   32.2606
 0.418   32.2491
 0.420   32.2505
 0.422   32.2477
 0.424   32.2574
 0.426   32.2600
 0.428   32.2670
 0.430   32.2619
 0.432   32.2669
 0.434   32.2668
 0.436   32.2580
 0.438   32.2592
 0.440   32.2645
 0.442   32.2736
 0.444   32.2782
 0.446   32.2846
 0.448   32.3126
 0.450   32.3187
 0.452   32.3235
 0.454   32.3270
 0.456   32.3177
 0.458   32.3149
 0.460   32.3226
 0.462   32.3057
 0.464   32.3092
 0.466   32.2843
 0.468   32.2851
 0.470   32.2841
 0.472   32.2939
 0.474   32.2835
 0.476   32.2897
 0.478   32.2899
 0.480   32.2793
 0.482   32.2738
 0.484   32.3086
 0.486   32.3395
 0.488   32.3568
 0.490   32.3667
 0.492   32.3776
 0.494   32.3862
 0.496   32.3902
 0.498   32.3906
 0.500   32.3922
 0.502   32.3973
 0.504   32.3826
 0.506   32.3828
 0.508   32.3871
 0.510   32.3618
 0.512   32.3462
 0.514   32.3469
 0.516   32.3404
 0.518   32.3315
 0.520   32.3251
 0.522   32.3244
 0.524   32.3305
 0.526   32.3287
 0.528   32.3347
 0.530   32.3263
 0.532   32.3274
 0.534   32.3235
 0.536   32.3369
 0.538   32.3287
 0.540   32.3383
 0.542   32.3465
 0.544   32.3504
 0.546   32.3301
 0.548   32.3310
 0.550   32.3496
 0.552   32.3505
 0.554   32.3346
 0.556   32.3458
 0.558   32.3282
 0.560   32.3327
 0.562   32.3462
 0.564   32.3438
 0.566   32.3432
 0.568   32.3349
 0.570   32.3319
 0.572   32.3379
 0.574   32.3420
 0.576   32.3323
 0.578   32.3251
 0.580   32.3294
 0.582   32.3352
 0.584   32.3298
 0.586   32.3295
 0.588   32.3296
 0.590   32.3225
 0.592   32.3190
 0.594   32.3149
 0.596   32.3177
 0.598   32.3175
 0.600   32.3356
 0.602   32.3029
 0.604   32.3208
